"S21 Log Mag"
"Freq (Hz)","dB",
10164843750, -2.636637e+000,
10165625000, -2.646057e+000,
10166406250, -2.637763e+000,
10167187500, -2.651719e+000,
10167968750, -2.650248e+000,
10168750000, -2.629315e+000,
10169531250, -2.659886e+000,
10170312500, -2.640309e+000,
10171093750, -2.639670e+000,
10171875000, -2.657280e+000,
10172656250, -2.639412e+000,
10173437500, -2.662308e+000,
10174218750, -2.670105e+000,
10175000000, -2.655955e+000,
10175781250, -2.649653e+000,
10176562500, -2.650048e+000,
10177343750, -2.641304e+000,
10178125000, -2.641983e+000,
10178906250, -2.648555e+000,
10179687500, -2.636317e+000,
10180468750, -2.652469e+000,
10181250000, -2.645108e+000,
10182031250, -2.632240e+000,
10182812500, -2.662667e+000,
10183593750, -2.643620e+000,
10184375000, -2.638922e+000,
10185156250, -2.647492e+000,
10185937500, -2.647312e+000,
10186718750, -2.657601e+000,
10187500000, -2.641458e+000,
10188281250, -2.647350e+000,
10189062500, -2.645501e+000,
10189843750, -2.652478e+000,
10190625000, -2.637045e+000,
10191406250, -2.642154e+000,
10192187500, -2.659706e+000,
10192968750, -2.640525e+000,
10193750000, -2.646694e+000,
10194531250, -2.648718e+000,
10195312500, -2.644578e+000,
10196093750, -2.659854e+000,
10196875000, -2.652374e+000,
10197656250, -2.660015e+000,
10198437500, -2.652617e+000,
10199218750, -2.665802e+000,
10200000000, -2.656502e+000,
10200781250, -2.668041e+000,
10201562500, -2.676872e+000,
10202343750, -2.667994e+000,
10203125000, -2.673202e+000,
10203906250, -2.669076e+000,
10204687500, -2.661152e+000,
10205468750, -2.680106e+000,
10206250000, -2.688003e+000,
10207031250, -2.664339e+000,
10207812500, -2.687649e+000,
10208593750, -2.705204e+000,
10209375000, -2.671264e+000,
10210156250, -2.681338e+000,
10210937500, -2.669435e+000,
10211718750, -2.662093e+000,
10212500000, -2.693801e+000,
10213281250, -2.655647e+000,
10214062500, -2.668577e+000,
10214843750, -2.668543e+000,
10215625000, -2.657117e+000,
10216406250, -2.662279e+000,
10217187500, -2.667769e+000,
10217968750, -2.653054e+000,
10218750000, -2.674537e+000,
10219531250, -2.689950e+000,
10220312500, -2.656292e+000,
10221093750, -2.663781e+000,
10221875000, -2.648598e+000,
10222656250, -2.648485e+000,
10223437500, -2.661949e+000,
10224218750, -2.648554e+000,
10225000000, -2.651512e+000,
10225781250, -2.661534e+000,
10226562500, -2.647057e+000,
10227343750, -2.654461e+000,
10228125000, -2.663321e+000,
10228906250, -2.647996e+000,
10229687500, -2.654780e+000,
10230468750, -2.653173e+000,
10231250000, -2.652567e+000,
10232031250, -2.664607e+000,
10232812500, -2.654846e+000,
10233593750, -2.659124e+000,
10234375000, -2.663093e+000,
10235156250, -2.660853e+000,
10235937500, -2.654643e+000,
10236718750, -2.659756e+000,
10237500000, -2.659515e+000,
10238281250, -2.667070e+000,
10239062500, -2.661255e+000,
10239843750, -2.661273e+000,
10240625000, -2.661935e+000,
10241406250, -2.659920e+000,
10242187500, -2.652554e+000,
10242968750, -2.658591e+000,
10243750000, -2.660701e+000,
10244531250, -2.668424e+000,
10245312500, -2.650337e+000,
10246093750, -2.669722e+000,
10246875000, -2.647939e+000,
10247656250, -2.656743e+000,
10248437500, -2.658231e+000,
10249218750, -2.648539e+000,
10250000000, -2.650979e+000,
10250781250, -2.651066e+000,
10251562500, -2.646941e+000,
10252343750, -2.658456e+000,
10253125000, -2.668116e+000,
10253906250, -2.656030e+000,
10254687500, -2.642698e+000,
10255468750, -2.650050e+000,
10256250000, -2.645737e+000,
10257031250, -2.657776e+000,
10257812500, -2.642212e+000,
10258593750, -2.643976e+000,
10259375000, -2.659550e+000,
10260156250, -2.641833e+000,
10260937500, -2.638267e+000,
10261718750, -2.654455e+000,
10262500000, -2.632627e+000,
10263281250, -2.644887e+000,
10264062500, -2.663140e+000,
10264843750, -2.632019e+000,
10265625000, -2.637416e+000,
10266406250, -2.639354e+000,
10267187500, -2.623544e+000,
10267968750, -2.635247e+000,
10268750000, -2.635701e+000,
10269531250, -2.612475e+000,
10270312500, -2.633642e+000,
10271093750, -2.611348e+000,
10271875000, -2.613935e+000,
10272656250, -2.634778e+000,
10273437500, -2.617347e+000,
10274218750, -2.625136e+000,
10275000000, -2.624400e+000,
10275781250, -2.613598e+000,
10276562500, -2.623705e+000,
10277343750, -2.624556e+000,
10278125000, -2.628007e+000,
10278906250, -2.626639e+000,
10279687500, -2.639056e+000,
10280468750, -2.627206e+000,
10281250000, -2.625976e+000,
10282031250, -2.631827e+000,
10282812500, -2.624178e+000,
10283593750, -2.635381e+000,
10284375000, -2.631844e+000,
10285156250, -2.639362e+000,
10285937500, -2.644475e+000,
10286718750, -2.642187e+000,
10287500000, -2.664810e+000,
10288281250, -2.645168e+000,
10289062500, -2.646835e+000,
10289843750, -2.647842e+000,
10290625000, -2.642452e+000,
10291406250, -2.642235e+000,
10292187500, -2.644372e+000,
10292968750, -2.641730e+000,
10293750000, -2.638320e+000,
10294531250, -2.642087e+000,
10295312500, -2.648278e+000,
10296093750, -2.650761e+000,
10296875000, -2.638596e+000,
10297656250, -2.641678e+000,
10298437500, -2.632545e+000,
10299218750, -2.625687e+000,
10300000000, -2.627800e+000,
10300781250, -2.628945e+000,
10301562500, -2.622257e+000,
10302343750, -2.639325e+000,
10303125000, -2.618796e+000,
10303906250, -2.633152e+000,
10304687500, -2.623097e+000,
10305468750, -2.625737e+000,
10306250000, -2.623318e+000,
10307031250, -2.625687e+000,
10307812500, -2.611365e+000,
10308593750, -2.611319e+000,
10309375000, -2.613719e+000,
10310156250, -2.610103e+000,
10310937500, -2.613406e+000,
10311718750, -2.605823e+000,
10312500000, -2.609778e+000,
10313281250, -2.632294e+000,
10314062500, -2.614399e+000,
10314843750, -2.622064e+000,
10315625000, -2.622989e+000,
10316406250, -2.609189e+000,
10317187500, -2.632303e+000,
10317968750, -2.613662e+000,
10318750000, -2.619709e+000,
10319531250, -2.621545e+000,
10320312500, -2.618288e+000,
10321093750, -2.629387e+000,
10321875000, -2.634156e+000,
10322656250, -2.622774e+000,
10323437500, -2.624333e+000,
10324218750, -2.644328e+000,
10325000000, -2.623147e+000,
10325781250, -2.624310e+000,
10326562500, -2.630505e+000,
10327343750, -2.633203e+000,
10328125000, -2.634664e+000,
10328906250, -2.630034e+000,
10329687500, -2.632422e+000,
10330468750, -2.642029e+000,
10331250000, -2.634856e+000,
10332031250, -2.642331e+000,
10332812500, -2.635227e+000,
10333593750, -2.634044e+000,
10334375000, -2.628836e+000,
10335156250, -2.635351e+000,
10335937500, -2.640089e+000,
10336718750, -2.626379e+000,
10337500000, -2.630073e+000,
10338281250, -2.626904e+000,
10339062500, -2.632655e+000,
10339843750, -2.620353e+000,
10340625000, -2.631071e+000,
10341406250, -2.630301e+000,
10342187500, -2.621557e+000,
10342968750, -2.622483e+000,
10343750000, -2.619399e+000,
10344531250, -2.619262e+000,
10345312500, -2.615905e+000,
10346093750, -2.603862e+000,
10346875000, -2.622227e+000,
10347656250, -2.615213e+000,
10348437500, -2.605902e+000,
10349218750, -2.615273e+000,
10350000000, -2.614726e+000,
10350781250, -2.606581e+000,
10351562500, -2.615643e+000,
10352343750, -2.602935e+000,
10353125000, -2.607874e+000,
10353906250, -2.616303e+000,
10354687500, -2.609542e+000,
10355468750, -2.611506e+000,
10356250000, -2.621396e+000,
10357031250, -2.612785e+000,
10357812500, -2.632344e+000,
10358593750, -2.621566e+000,
10359375000, -2.612447e+000,
10360156250, -2.633309e+000,
10360937500, -2.621143e+000,
10361718750, -2.616557e+000,
10362500000, -2.627743e+000,
10363281250, -2.622497e+000,
10364062500, -2.631200e+000,
