Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
10000171014.492613;-136.93080139160156;-173.15419006347656
10000172463.767975;-138.10435485839844;-177.03787231445312
10000173913.043337;-137.86988830566406;-181.87808227539062
10000175362.318699;-134.42437744140625;-185.33084106445312
10000176811.594061;-137.40582275390625;-192.48173522949219
10000178260.869423;-137.26383972167969;-187.51971435546875
10000179710.144785;-137.23800659179687;-189.90142822265625
10000181159.420147;-137.42497253417969;-190.59768676757812
10000182608.695509;-136.65704345703125;-183.35145568847656
10000184057.970871;-133.13609313964844;-190.09326171875
10000185507.246233;-136.26873779296875;-186.39146423339844
10000186956.521595;-136.36663818359375;-186.38017272949219
10000188405.796957;-137.10018920898437;-196.93672180175781
10000189855.072319;-137.28913879394531;-185.57630920410156
10000191304.347681;-136.69755554199219;-189.58509826660156
10000192753.623043;-137.15940856933594;-191.61422729492187
10000194202.898405;-136.88192749023437;-187.47969055175781
10000195652.173767;-136.44404602050781;-195.7393798828125
10000197101.449129;-137.32040405273437;-195.41094970703125
10000198550.724491;-137.80577087402344;-192.17147827148437
10000199999.999853;-137.63409423828125;-185.64485168457031
10000201449.275215;-136.90547180175781;-184.82643127441406
10000202898.550577;-137.34060668945313;-198.82882690429688
10000204347.825939;-136.98086547851562;-200
10000205797.101301;-136.42454528808594;-191.78559875488281
10000207246.376663;-137.24188232421875;-187.5474853515625
10000208695.652025;-137.25765991210937;-185.79594421386719
10000210144.927387;-137.0009765625;-188.57243347167969
10000211594.202749;-135.05085754394531;-197.38880920410156
10000213043.478111;-136.97328186035156;-184.95600891113281
10000214492.753473;-136.54093933105469;-188.61782836914062
10000215942.028835;-136.48748779296875;-188.11128234863281
10000217391.304197;-128.01966857910156;-187.75189208984375
10000218840.579559;-137.77827453613281;-185.90792846679687
10000220289.854921;-137.09628295898437;-183.77572631835937
10000221739.130283;-137.53753662109375;-185.25813293457031
10000223188.405645;-136.85818481445312;-187.48162841796875
10000224637.681007;-136.6937255859375;-191.55450439453125
10000226086.956369;-136.7894287109375;-187.72259521484375
10000227536.231731;-136.31700134277344;-185.64190673828125
10000228985.507093;-136.88169860839844;-183.43614196777344
10000230434.782455;-137.01127624511719;-185.21307373046875
10000231884.057817;-137.96882629394531;-180.16485595703125
10000233333.333179;-137.48171997070313;-186.51420593261719
10000234782.608541;-137.35182189941406;-186.47286987304687
10000236231.883904;-136.26051330566406;-185.46829223632812
10000237681.159266;-137.14544677734375;-192.43316650390625
10000239130.434628;-136.16313171386719;-185.81570434570312
10000240579.70999;-136.82633972167969;-184.41618347167969
10000242028.985352;-137.01927185058594;-184.73246765136719
10000243478.260714;-136.47697448730469;-190.60171508789062
10000244927.536076;-136.80593872070312;-188.52772521972656
10000246376.811438;-138.10845947265625;-183.60760498046875
10000247826.0868;-136.88998413085937;-184.525634765625
10000249275.362162;-125.24441528320312;-200
10000250724.637524;-136.35736083984375;-193.359619140625
10000252173.912886;-137.32989501953125;-199.61001586914063
10000253623.188248;-137.88475036621094;-181.632080078125
10000255072.46361;-136.71821594238281;-185.0657958984375
10000256521.738972;-137.27488708496094;-182.65892028808594
10000257971.014334;-135.98847961425781;-184.74220275878906
10000259420.289696;-136.98268127441406;-183.17056274414062
10000260869.565058;-136.88252258300781;-193.65054321289062
10000262318.84042;-136.90676879882812;-191.12420654296875
10000263768.115782;-136.74507141113281;-199.66413879394531
10000265217.391144;-136.54402160644531;-193.70967102050781
10000266666.666506;-137.47906494140625;-188.12469482421875
10000268115.941868;-136.96116638183594;-192.38442993164062
10000269565.21723;-137.67483520507812;-183.14385986328125
10000271014.492592;-138.69027709960937;-188.5946044921875
10000272463.767954;-136.67030334472656;-190.00907897949219
10000273913.043316;-136.11647033691406;-198.16743469238281
10000275362.318678;-136.37089538574219;-192.11795043945313
10000276811.59404;-137.5391845703125;-182.07266235351562
10000278260.869402;-135.40171813964844;-194.778564453125
10000279710.144764;-136.22978210449219;-191.88523864746094
10000281159.420126;-137.70677185058594;-191.51493835449219
10000282608.695488;-137.06333923339844;-189.00267028808594
10000284057.97085;-136.31317138671875;-191.6611328125
10000285507.246212;-136.42051696777344;-192.21733093261719
10000286956.521574;-137.595458984375;-196.60548400878906
10000288405.796936;-136.35362243652344;-193.33308410644531
10000289855.072298;-137.24734497070313;-193.76496887207031
10000291304.34766;-137.80894470214844;-196.24089050292969
10000292753.623022;-137.126953125;-186.43083190917969
10000294202.898384;-137.45751953125;-190.67338562011719
10000295652.173746;-135.42568969726562;-195.92893981933594
10000297101.449108;-136.6363525390625;-184.17062377929687
10000298550.72447;-137.03437805175781;-190.11421203613281
10000299999.999832;-137.60676574707031;-187.77206420898437
10000301449.275194;-137.54751586914062;-197.53660583496094
10000302898.550556;-136.76670837402344;-188.01197814941406
10000304347.825918;-137.27120971679687;-186.3304443359375
10000305797.10128;-136.66323852539062;-186.87570190429688
10000307246.376642;-136.32806396484375;-183.76095581054687
10000308695.652004;-136.91191101074219;-196.58705139160156
10000310144.927366;-136.70195007324219;-189.52113342285156
10000311594.202728;-136.65068054199219;-186.78408813476562
10000313043.47809;-136.4832763671875;-193.61328125
10000314492.753452;-128.89511108398437;-185.70191955566406
10000315942.028814;-137.34297180175781;-193.9771728515625
10000317391.304176;-137.10453796386719;-180.05918884277344
10000318840.579538;-136.97299194335937;-181.19593811035156
10000320289.8549;-137.52105712890625;-184.29920959472656
10000321739.130262;-137.12728881835937;-186.52531433105469
10000323188.405624;-138.19766235351562;-199.52076721191406
10000324637.680986;-137.38639831542969;-192.82878112792969
10000326086.956348;-136.85090637207031;-184.69224548339844
10000327536.23171;-137.22459411621094;-181.58293151855469
10000328985.507072;-138.02723693847656;-176.00645446777344
10000330434.782434;-138.8448486328125;-170.78125
10000331884.057796;-138.65644836425781;-169.47502136230469
10000333333.333158;-139.34263610839844;-167.73046875
10000334782.608521;-138.69178771972656;-171.47007751464844
10000336231.883883;-138.08537292480469;-171.12384033203125
10000337681.159245;-138.33866882324219;-172.71061706542969
10000339130.434607;-137.46305847167969;-177.12977600097656
10000340579.709969;-136.64143371582031;-179.18928527832031
10000342028.985331;-137.97398376464844;-190.36996459960937
10000343478.260693;-134.714111328125;-188.36054992675781
10000344927.536055;-137.26522827148437;-199.03535461425781
10000346376.811417;-137.21772766113281;-190.8770751953125
10000347826.086779;-136.59355163574219;-189.05134582519531
10000349275.362141;-137.88571166992187;-198.62211608886719
10000350724.637503;-137.54107666015625;-188.25668334960937
10000352173.912865;-136.54750061035156;-192.09255981445312
10000353623.188227;-137.28311157226562;-188.32575988769531
10000355072.463589;-137.31936645507812;-200
10000356521.738951;-136.80622863769531;-200
10000357971.014313;-137.0960693359375;-193.35636901855469
10000359420.289675;-138.32133483886719;-186.26068115234375
10000360869.565037;-137.59892272949219;-193.32188415527344
10000362318.840399;-136.87757873535156;-183.3084716796875
10000363768.115761;-137.61012268066406;-191.253662109375
10000365217.391123;-137.302734375;-185.43592834472656
10000366666.666485;-137.71800231933594;-185.68641662597656
10000368115.941847;-135.7249755859375;-186.63468933105469
10000369565.217209;-136.19186401367187;-183.77566528320312
10000371014.492571;-135.78741455078125;-183.05003356933594
10000372463.767933;-137.04693603515625;-195.3880615234375
10000373913.043295;-136.41819763183594;-186.74461364746094
10000375362.318657;-136.39768981933594;-192.37763977050781
10000376811.594019;-127.56300354003906;-200
10000378260.869381;-137.95150756835937;-181.07771301269531
10000379710.144743;-136.55191040039062;-184.51097106933594
10000381159.420105;-137.15660095214844;-187.36430358886719
10000382608.695467;-136.58181762695312;-189.1141357421875
10000384057.970829;-137.54751586914062;-186.66978454589844
10000385507.246191;-137.19058227539062;-191.78277587890625
10000386956.521553;-136.98211669921875;-184.75611877441406
10000388405.796915;-137.44557189941406;-195.75068664550781
10000389855.072277;-136.52975463867187;-188.66043090820312
10000391304.347639;-137.24639892578125;-186.18257141113281
10000392753.623001;-137.48040771484375;-186.36087036132812
10000394202.898363;-137.167236328125;-200
10000395652.173725;-136.64604187011719;-183.62989807128906
10000397101.449087;-137.14889526367187;-181.68043518066406
10000398550.724449;-137.751220703125;-196.32621765136719
10000399999.999811;-136.90509033203125;-191.34791564941406
10000401449.275173;-135.7578125;-192.27767944335937
10000402898.550535;-137.54057312011719;-192.06320190429687
10000404347.825897;-135.66592407226562;-191.77244567871094
10000405797.101259;-136.36129760742187;-200
10000407246.376621;-137.16867065429687;-187.5738525390625
10000408695.651983;-125.91386413574219;-189.56205749511719
10000410144.927345;-137.498779296875;-181.3294677734375
10000411594.202707;-137.60107421875;-186.40911865234375
10000413043.478069;-137.46031188964844;-186.90483093261719
10000414492.753431;-137.05593872070312;-188.20909118652344
10000415942.028793;-135.60476684570312;-189.9473876953125
10000417391.304155;-137.12669372558594;-194.01097106933594
10000418840.579517;-136.08345031738281;-188.68968200683594
10000420289.854879;-137.40019226074219;-188.60406494140625
10000421739.130241;-137.34297180175781;-192.22587585449219
10000423188.405603;-137.40248107910156;-200
10000424637.680965;-137.0958251953125;-187.98442077636719
10000426086.956327;-137.56336975097656;-184.77729797363281
10000427536.231689;-137.44268798828125;-186.40473937988281
10000428985.507051;-136.07188415527344;-200
10000430434.782413;-137.12867736816406;-195.22344970703125
10000431884.057775;-137.56210327148437;-192.94131469726562
10000433333.333138;-137.116943359375;-182.73709106445312
10000434782.6085;-136.21922302246094;-187.5430908203125
10000436231.883862;-136.99983215332031;-193.36477661132812
10000437681.159224;-137.12509155273437;-189.90174865722656
10000439130.434586;-136.54527282714844;-187.91456604003906
10000440579.709948;-137.42350769042969;-188.52618408203125
10000442028.98531;-137.17558288574219;-187.21047973632812
10000443478.260672;-137.87130737304688;-183.03877258300781
10000444927.536034;-137.54408264160156;-186.22396850585937
10000446376.811396;-137.35809326171875;-182.88027954101562
10000447826.086758;-136.65188598632812;-182.16464233398437
10000449275.36212;-136.84454345703125;-194.68751525878906
10000450724.637482;-137.30838012695312;-191.69451904296875
10000452173.912844;-136.6326904296875;-182.09385681152344
10000453623.188206;-137.00254821777344;-188.26251220703125
10000455072.463568;-135.91746520996094;-196.64508056640625
10000456521.73893;-136.76066589355469;-187.6507568359375
10000457971.014292;-137.31271362304688;-185.43235778808594
10000459420.289654;-136.65672302246094;-185.23497009277344
10000460869.565016;-136.8768310546875;-187.10130310058594
10000462318.840378;-136.85432434082031;-200
10000463768.11574;-136.02581787109375;-187.24739074707031
10000465217.391102;-136.65567016601562;-191.62126159667969
10000466666.666464;-137.19007873535156;-194.7684326171875
10000468115.941826;-136.72154235839844;-180.44453430175781
10000469565.217188;-136.22126770019531;-186.53596496582031
10000471014.49255;-136.51725769042969;-185.07943725585937
10000472463.767912;-137.655517578125;-180.1282958984375
10000473913.043274;-129.1143798828125;-200
10000475362.318636;-137.565673828125;-178.8428955078125
10000476811.593998;-136.97109985351562;-184.16221618652344
10000478260.86936;-136.75004577636719;-191.01115417480469
10000479710.144722;-137.16854858398438;-188.2930908203125
10000481159.420084;-137.54191589355469;-187.25897216796875
10000482608.695446;-136.64462280273438;-188.45761108398437
10000484057.970808;-136.02433776855469;-192.12541198730469
10000485507.24617;-138.42713928222656;-190.59114074707031
10000486956.521532;-137.30300903320312;-196.87759399414062
10000488405.796894;-136.87197875976562;-182.7308349609375
10000489855.072256;-137.9541015625;-198.103271484375
10000491304.347618;-136.77044677734375;-188.39006042480469
10000492753.62298;-137.88583374023437;-193.96649169921875
10000494202.898342;-136.60798645019531;-186.00892639160156
10000495652.173704;-137.71553039550781;-184.16450500488281
10000497101.449066;-138.06228637695312;-188.87858581542969
10000498550.724428;-135.55319213867187;-193.94346618652344
10000499999.99979;-136.33584594726562;-186.47627258300781
