Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
9999655072.4637356;-136.64785766601562;-181.67204284667969
9999656521.7390976;-136.14402770996094;-193.79972839355469
9999657971.0144596;-136.47044372558594;-190.69364929199219
9999659420.2898216;-136.55555725097656;-179.85580444335938
9999660869.5651836;-125.94612121582031;-174.16792297363281
9999662318.8405457;-137.14279174804687;-172.32264709472656
9999663768.1159077;-139.27520751953125;-168.53692626953125
9999665217.3912697;-139.27981567382812;-169.67431640625
9999666666.6666317;-138.56724548339844;-166.70631408691406
9999668115.9419937;-138.94061279296875;-173.7418212890625
9999669565.2173557;-138.45594787597656;-173.14329528808594
9999671014.4927177;-138.55885314941406;-176.98666381835937
9999672463.7680798;-137.10281372070313;-178.96542358398437
9999673913.0434418;-137.18748474121094;-186.92745971679687
9999675362.3188038;-137.51179504394531;-184.71603393554687
9999676811.5941658;-137.61178588867187;-185.94090270996094
9999678260.8695278;-137.59994506835937;-186.37434387207031
9999679710.1448898;-137.01960754394531;-183.9185791015625
9999681159.4202518;-138.30125427246094;-185.93807983398437
9999682608.6956139;-136.97097778320312;-186.56246948242187
9999684057.9709759;-135.71005249023437;-189.45147705078125
9999685507.2463379;-137.66761779785156;-192.57937622070312
9999686956.5216999;-136.66502380371094;-185.6624755859375
9999688405.7970619;-137.46580505371094;-180.57276916503906
9999689855.0724239;-136.65048217773437;-187.43902587890625
9999691304.3477859;-138.19572448730469;-190.62875366210937
9999692753.623148;-137.16294860839844;-193.65731811523437
9999694202.89851;-137.613525390625;-189.96060180664062
9999695652.173872;-136.27586364746094;-196.2232666015625
9999697101.449234;-135.97885131835937;-199.23460388183594
9999698550.724596;-135.78831481933594;-192.82644653320312
9999699999.999958;-137.09407043457031;-193.65582275390625
9999701449.2753201;-137.35331726074219;-189.88540649414062
9999702898.5506821;-136.57884216308594;-192.46751403808594
9999704347.8260441;-137.17323303222656;-192.23905944824219
